주택건설실적통계(준공)(Statistics on Housing Construction(completion)) / 주택규모별 주택건설 준공실적(월계) (201007 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:02,,,,,,,
,검색기간  : 201501 ~ 201901,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구  분,규모별,사용검사실적,,,,
2015-03,경남,40~60㎡이하,810,,,,
2015-03,경남,60~85㎡이하,"1,186",,,,
2015-03,경남,85~135㎡이하,281,,,,
2015-03,경남,135㎡초과,291,,,,
2015-03,제주,계,432,,,,
2015-03,제주,40㎡이하,29,,,,
2015-03,제주,40~60㎡이하,53,,,,
2015-03,제주,60~85㎡이하,95,,,,
2015-03,제주,85~135㎡이하,151,,,,
2015-03,제주,135㎡초과,104,,,,
2015-03,세종,계,560,,,,
2015-03,세종,40㎡이하,,,,,
2015-03,세종,40~60㎡이하,297,,,,
2015-03,세종,60~85㎡이하,242,,,,
2015-03,세종,85~135㎡이하,12,,,,
2015-03,세종,135㎡초과,9,,,,
2015-04,총계,계,"30,690",,,,
2015-04,총계,40㎡이하,"3,064",,,,
2015-04,총계,40~60㎡이하,"8,567",,,,
2015-04,총계,60~85㎡이하,"12,987",,,,
2015-04,총계,85~135㎡이하,"3,682",,,,
2015-04,총계,135㎡초과,"2,390",,,,
2015-04,수도권소계,계,"15,145",,,,
2015-04,수도권소계,40㎡이하,"2,345",,,,
2015-04,수도권소계,40~60㎡이하,"4,966",,,,
2015-04,수도권소계,60~85㎡이하,"6,117",,,,
2015-04,수도권소계,85~135㎡이하,790,,,,
2015-04,수도권소계,135㎡초과,927,,,,
2015-04,서울,계,"6,989",,,,
2015-04,서울,40㎡이하,"1,428",,,,
2015-04,서울,40~60㎡이하,"2,619",,,,
2015-04,서울,60~85㎡이하,"2,215",,,,
2015-04,서울,85~135㎡이하,310,,,,
2015-04,서울,135㎡초과,417,,,,
2015-04,인천,계,830,,,,
2015-04,인천,40㎡이하,18,,,,
2015-04,인천,40~60㎡이하,257,,,,
2015-04,인천,60~85㎡이하,465,,,,
2015-04,인천,85~135㎡이하,61,,,,
2015-04,인천,135㎡초과,29,,,,
2015-04,경기,계,"7,326",,,,
2015-04,경기,40㎡이하,899,,,,
2015-04,경기,40~60㎡이하,"2,090",,,,
2015-04,경기,60~85㎡이하,"3,437",,,,
2015-04,경기,85~135㎡이하,419,,,,
2015-04,경기,135㎡초과,481,,,,
2015-04,지방소계,계,"15,545",,,,
2015-04,지방소계,40㎡이하,719,,,,
2015-04,지방소계,40~60㎡이하,"3,601",,,,
2015-04,지방소계,60~85㎡이하,"6,870",,,,
2015-04,지방소계,85~135㎡이하,"2,892",,,,
2015-04,지방소계,135㎡초과,"1,463",,,,
2015-04,기타광역시,계,"5,266",,,,
2015-04,기타광역시,40㎡이하,198,,,,
2015-04,기타광역시,40~60㎡이하,"1,646",,,,
2015-04,기타광역시,60~85㎡이하,"2,632",,,,
2015-04,기타광역시,85~135㎡이하,405,,,,
2015-04,기타광역시,135㎡초과,385,,,,
2015-04,부산,계,"1,048",,,,
2015-04,부산,40㎡이하,196,,,,
2015-04,부산,40~60㎡이하,152,,,,
2015-04,부산,60~85㎡이하,515,,,,
2015-04,부산,85~135㎡이하,144,,,,
2015-04,부산,135㎡초과,41,,,,
2015-04,대구,계,"2,333",,,,
2015-04,대구,40㎡이하,2,,,,
2015-04,대구,40~60㎡이하,"1,219",,,,
2015-04,대구,60~85㎡이하,812,,,,
2015-04,대구,85~135㎡이하,172,,,,
2015-04,대구,135㎡초과,128,,,,
2015-04,광주,계,269,,,,
2015-04,광주,40㎡이하,,,,,
2015-04,광주,40~60㎡이하,2,,,,
2015-04,광주,60~85㎡이하,208,,,,
2015-04,광주,85~135㎡이하,12,,,,
2015-04,광주,135㎡초과,47,,,,
2015-04,대전,계,78,,,,
2015-04,대전,40㎡이하,,,,,
2015-04,대전,40~60㎡이하,3,,,,
2015-04,대전,60~85㎡이하,23,,,,
2015-04,대전,85~135㎡이하,5,,,,
2015-04,대전,135㎡초과,47,,,,
